hhcode,weight,food_total,nonfood_total,selfemp_income,total_income,treatment,loan_amount
720312,1,559,108150,0,108709,1,8000
720313,1,437,6503,0,6940,0,0
720351,1,1164,20000,0,21164,1,0
720411,1,744,25890,0,26634,1,40000
720412,1,276,4070,0,4346,0,0
720441,1,834,46590,0,47424,0,0
720459,1,1542,41690,0,43232,1,21000
720511,1,440,7988,0,8428,1,31000
720611,1,729,36650,0,37379,1,27000
720641,1,742,8510,135,9387,1,10000
720711,1,720,35960,0,36680,1,27000
720811,1,342,4215,0,4557,1,18000
720812,1,244,1896,0,2140,0,0
720911,1,792,29289,0,30081,1,7000
721011,1,452,7795,0,8247,1,21000
721111,1,560,19710,70,20340,1,24000
721211,1,445,7214,0,7659,1,19000
721311,1,385,5494,0,5879,1,17000
721411,1,522,11100,70,11692,1,18500
730111,1,609,24060,0,24669,1,23000
730141,1,398,5710,0,6108,1,8000
730151,1,957,24730,0,25687,0,0
730211,1,385,5974,80,6439,1,0
730241,1,769,11384,0,12153,0,0
730251,1,1050,26630,0,27680,0,9000
730311,1,422,3923,0,4345,1,8500
730341,1,348,5873,0,6221,0,0
730351,1,1029,43494,0,44523,0,0
730411,1,466,6670,0,7136,1,0
730441,1,379,14863,0,15242,1,2000
730459,1,936,15770,0,16706,0,3000
730511,1,394,12380,55,12829,1,22000
730541,1,521,5125,70,5716,1,2000
730611,1,522,5475,0,5997,1,0
730612,1,252,2405,0,2657,0,0
730641,1,507,8055,0,8562,0,0
730642,1,285,3823,65,4173,1,2000
730643,1,462,10780,0,11242,1,5000
730711,1,285,12720,0,13005,1,5250
730712,1,248,4240,0,4488,1,5000
730811,1,419,10303,30,10752,1,5500
730911,1,261,3262,60,3583,1,0
731011,1,557,7582,80,8219,1,6000
731111,1,534,7850,0,8384,1,5000
731211,1,589,9740,0,10329,1,8500
731311,1,303.5,5350,65,5718.5,1,5000
731411,1,596,8885,0,9481,0,0
731412,1,637,20015,0,20652,0,2000
731413,1,222,3195,0,3417,1,29000
731414,1,431,4915,0,5346,0,0
731415,1,324,4625,0,4949,0,1000
740119,1,963,20760,0,21723,1,30000
740149,1,328,8200,0,8528,0,0
740159,1,982,39460,0,40442,0,0
740219,1,249,3815,60,4124,1,14000
740249,1,481,6210,0,6691,0,2000
740259,1,409,9428,0,9837,0,25000
740319,1,544,10475,0,11019,1,14000
740349,1,956,15675,0,16631,0,2000
740359,1,1136,23825,0,24961,0,0
