"hhcode","casenum","date","weight_","day","month","year","thanaid","thanade","villid","villde","hhid","partcptn","hhtype","hhserial","relign","relhh","distance","lat_type","electric","samity","member","d_hat","d_bcentr","d_bank"
220351,45,"8/01/99",1,5,6,99,2,"GAIBANDHA SADAR",2,"",3,5,1,21,1,1,1.60000002384186,1,2,2,1.79769313486232e+308,1.60000002384186,8.05000019073486,8.05000019073486
220441,41,"8/01/99",1,29,5,99,2,"GAIBANDHA SADAR",2,"",4,4,1,17,1,1,0.800000011920929,1,2,2,1.79769313486232e+308,0.800000011920929,8.05000019073486,8.05000019073486
220459,46,"8/01/99",1,8,6,99,2,"GAIBANDHA SADAR",2,"",4,5,9,22,1,1,0.800000011920929,1,2,2,1.79769313486232e+308,0.800000011920929,4.82999992370606,4.82999992370606
220511,30,"8/01/99",1,12,5,99,2,"GAIBANDHA SADAR",2,"",5,1,1,6,1,1,0.400000005960464,1,2,2,1.79769313486232e+308,0.400000005960464,6.44000005722046,6.44000005722046
220541,42,"8/01/99",1,30,5,99,2,"GAIBANDHA SADAR",2,"",5,4,1,18,1,1,0.400000005960464,1,2,2,1.79769313486232e+308,0.400000005960464,5,5
220611,31,"8/01/99",1,13,5,99,2,"GAIBANDHA SADAR",2,"",6,1,1,7,1,1,0.400000005960464,2,2,1,1,0.800000011920929,5,5
220911,33,"8/01/99",1,17,5,99,2,"GAIBANDHA SADAR",2,"",9,1,1,9,1,1,0.400000005960464,1,2,2,1.79769313486232e+308,0.400000005960464,4.05000019073486,4.05000019073486
221011,34,"8/01/99",1,18,5,99,2,"GAIBANDHA SADAR",2,"",10,1,1,10,1,1,0.800000011920929,1,2,2,1.79769313486232e+308,0.800000011920929,6.44000005722046,6.44000005722046
221112,36,"8/01/99",1,20,5,99,2,"GAIBANDHA SADAR",2,"",11,1,2,12,1,1,0.400000005960464,1,2,2,1.79769313486232e+308,0.400000005960464,8.05000019073486,8.05000019073486
221211,37,"8/01/99",1,21,5,99,2,"GAIBANDHA SADAR",2,"",12,1,1,13,1,1,0.400000005960464,1,2,2,1.79769313486232e+308,0.400000005960464,8.05000019073486,8.05000019073486
