"casenum","date","weight_","hhcode","pid","htrid","htrde","s12_2q21","s12_2q22","s12_2q31","s12_2q32","s12_2q41","s12_2q42","s12_2q51","s12_2q52","s12_2q61","s12_2q62","s12_2q71","s12_2q72"
26,"11/01/99",1,1832039,1,1,"Purchased",2000,2000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
27,"11/01/99",1,1832139,1,1,"Purchased",1000,1000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
28,"11/01/99",1,1832239,1,1,"Purchased",0,1200,0,0,600,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
64,"11/01/99",1,1840139,1,1,"Purchased",2000,9000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
65,"11/01/99",1,1840239,1,1,"Purchased",1000,7000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
66,"11/01/99",1,1840339,1,1,"Purchased",1000,8000,0,0,700,700,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
67,"11/01/99",1,1840439,1,1,"Purchased",18000,20000,1.79769313486232e+308,1.79769313486232e+308,0,600,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
68,"11/01/99",1,1840539,1,1,"Purchased",1500,3000,0,0,0,0,3350,2000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
69,"11/01/99",1,1840639,1,1,"Purchased",1200,1200,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,600,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
70,"11/01/99",1,1840739,1,1,"Purchased",2000,2000,0,0,0,0,0,1500,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
