"casenum","date","weight_","hhcode","pid","aelsid","aelsde","s12_3q21","s12_3q22","s12_3q31","s12_3q32","s12_3q41","s12_3q42","s12_3q51","s12_3q52","s12_3q61","s12_3q62","s12_3q71","s12_3q72"
5,"8/10/99",1,3110539,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,75,100,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,500,2000
16,"8/10/99",1,3110549,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,780,1.79769313486232e+308
6,"8/10/99",1,3110639,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
17,"8/10/99",1,3110649,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,2200,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,720,1.79769313486232e+308
7,"8/10/99",1,3110739,2,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,500,1.79769313486232e+308
8,"8/10/99",1,3110839,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3000,4500,1500,1500,1.79769313486232e+308,1.79769313486232e+308
9,"8/10/99",1,3110939,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
10,"8/10/99",1,3111039,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
12,"8/10/99",1,3111139,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2000,300,200
1,"8/09/99",1,3120139,1,1,"Purchased",200,300,20,25,10000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,500,1190
11,"8/27/99",1,3120149,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4000,1.79769313486232e+308,1000,300,160
18,"8/27/99",1,3120159,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,50,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4000,1.79769313486232e+308,2000,1.79769313486232e+308,190,1.79769313486232e+308
2,"8/27/99",1,3120239,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,20,20,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,200,1.79769313486232e+308
12,"8/27/99",1,3120249,1,1,"Purchased",300,300,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3000,6000,1.79769313486232e+308,1000,70,150
19,"8/27/99",1,3120259,1,1,"Purchased",500,1.79769313486232e+308,50,1.79769313486232e+308,5500,1.79769313486232e+308,3000,1.79769313486232e+308,1500,1.79769313486232e+308,1400,1.79769313486232e+308
3,"8/27/99",1,3120339,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1000,1300
13,"8/27/99",1,3120349,1,1,"Purchased",500,1.79769313486232e+308,2200,1.79769313486232e+308,7000,1.79769313486232e+308,5000,1.79769313486232e+308,3000,1.79769313486232e+308,300,1.79769313486232e+308
20,"8/27/99",1,3120359,1,1,"Purchased",300,1.79769313486232e+308,50,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,6500,1.79769313486232e+308,1500,1.79769313486232e+308,200,1.79769313486232e+308
4,"8/27/99",1,3120439,1,1,"Purchased",300,400,50,50,1.79769313486232e+308,1.79769313486232e+308,3000,4000,1.79769313486232e+308,1.79769313486232e+308,400,580
14,"8/27/99",1,3120449,1,1,"Purchased",400,1.79769313486232e+308,50,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1685,1.79769313486232e+308
21,"8/27/99",1,3120459,1,1,"Purchased",500,1.79769313486232e+308,50,1.79769313486232e+308,8000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1440,1.79769313486232e+308
5,"8/27/99",1,3120539,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,50,30,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3500,350,735
15,"8/27/99",1,3120549,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,25,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,325,1.79769313486232e+308
6,"8/27/99",1,3120639,2,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,700,500,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1500,2275
16,"8/27/99",1,3120649,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,20,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,510,510
7,"8/27/99",1,3120739,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,100,200
17,"8/27/99",1,3120749,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,50,50,6000,1.79769313486232e+308,3500,1.79769313486232e+308,500,1.79769313486232e+308,1050,1.79769313486232e+308
8,"8/27/99",1,3120839,1,1,"Purchased",6000,6000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,300,500
9,"8/27/99",1,3120939,1,1,"Purchased",1.79769313486232e+308,1.79769313486232e+308,60,60,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1500,2100
