"casenum","date","weight_","hhcode","pid","respid","s13_1q3","s13_1q4","s13_1q5","s13_1q6","s13_1q7","s13_1q8","s13_1q9","s13_1q10","s13_1q11"
293,"6/23/99",1,620411,2,2,1,15,0,0,1,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
304,"6/23/99",1,620441,5,5,1,14,0,0,0.25,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
101,"9/12/99",1,620459,2,2,1,15,0,0,0,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
103,"9/12/99",1,620459,5,5,1,15,0,0,0,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
104,"9/12/99",1,620459,9,9,1,12,0,0,0,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"10/18/99",1,620459,14,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,".",1.79769313486232e+308,620511,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
295,"6/23/99",1,620512,2,2,1,13,4000,0,3,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
305,"6/23/99",1,620541,2,2,1,15,0,0,1,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
83,"9/12/99",1,620611,2,1,1,15,0,0,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
296,"6/23/99",1,620711,2,2,1,13,0,0,1.5,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"8/25/99",1,620711,5,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
297,"6/23/99",1,620811,5,5,1,14,0,0,4,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
298,"6/23/99",1,620811,6,6,1,13,0,0,2,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"8/25/99",1,620811,8,8,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"8/25/99",1,620811,9,9,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"8/25/99",1,620811,10,10,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"8/25/99",1,620811,11,11,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
299,"6/23/99",1,620911,2,2,1,13,0,0,1,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
300,"6/23/99",1,620911,3,3,1,14,0,0,1,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
84,"9/12/99",1,621011,2,2,1,14,3000,0,0.100000001490116,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
85,"9/12/99",1,621111,2,2,1,14,0,0,1.5,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
88,"9/12/99",1,621211,2,2,1,16,15000,0,30,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
89,"9/12/99",1,621211,7,7,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
150,"7/21/99",1,630111,2,2,1,13,0,0,0.5,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,".",1.79769313486232e+308,630111,5,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
160,"7/21/99",1,630141,2,2,1,17,0,0,10,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
170,"7/21/99",1,630151,4,4,1,13,0,0,1,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,".",1.79769313486232e+308,630151,5,4,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
151,"7/21/99",1,630211,2,2,1,12,0,0,2,20,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,".",1.79769313486232e+308,630211,3,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
161,"7/21/99",1,630241,2,2,1,18,0,0,12,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
162,"7/21/99",1,630242,2,2,1,17,20000,0,1.5,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
171,"7/21/99",1,630251,2,2,1,15,0,0,0,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,".",1.79769313486232e+308,630251,5,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,".",1.79769313486232e+308,630251,6,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
172,"7/21/99",1,630252,2,2,1,16,0,0,1.5,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
29,"8/04/99",1,630311,2,2,1,16,0,0,7,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
163,"7/21/99",1,630341,2,2,1,12,0,0,8,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
164,"7/21/99",1,630341,7,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
165,"7/21/99",1,630341,8,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
166,"7/21/99",1,630341,9,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
167,"7/21/99",1,630342,2,2,1,10,0,0,2,48,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
173,"7/21/99",1,630351,5,1,1,18,0,0,1,12,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
174,"7/21/99",1,630352,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
30,"8/04/99",1,630411,2,2,1,12,0,0,10,18,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,".",1.79769313486232e+308,630411,4,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
168,"7/21/99",1,630441,2,2,1,14,0,0,6,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,".",1.79769313486232e+308,630441,3,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
176,"7/21/99",1,630459,4,4,1,16,0,0,5,7,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
177,"7/21/99",1,630459,5,5,1,17,0,0,10,0,2,1998,1.79769313486232e+308
1.79769313486232e+308,".",1.79769313486232e+308,630459,7,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
152,"7/21/99",1,630511,2,2,1,15,0,0,4,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
153,"7/21/99",1,630512,2,2,1,16,10000,0,3,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
