"casenum","date","weight_","hhcode","crisisid","crisisde","loss","hcf1","hcf2","exp"
131,"8/18/99",1,2431739,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1,"7/07/99",1,2510141,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
24,"8/01/99",1,2510151,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
2,"8/01/99",1,2510241,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
25,"8/01/99",1,2510251,2,"Crop damage",4000,25,1.79769313486232e+308,4000
3,"8/01/99",1,2510341,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
26,"8/01/99",1,2510351,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
4,"8/01/99",1,2510441,2,"Crop damage",5000,2,1.79769313486232e+308,4000
5,"8/01/99",1,2510441,8,"Huge expenditure due to illness",5000,25,1.79769313486232e+308,5000
6,"8/01/99",1,2510442,2,"Crop damage",4000,25,1.79769313486232e+308,3000
27,"8/01/99",1,2510459,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
7,"8/01/99",1,2510541,2,"Crop damage",2000,7,5,1000
8,"8/01/99",1,2510641,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
9,"8/01/99",1,2510642,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
10,"8/01/99",1,2510741,8,"Huge expenditure due to illness",5000,7,5,5000
11,"8/01/99",1,2510841,2,"Crop damage",6000,25,1.79769313486232e+308,5000
12,"8/01/99",1,2510941,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
13,"8/01/99",1,2511041,8,"Huge expenditure due to illness",1200,2,1.79769313486232e+308,1200
14,"8/01/99",1,2511141,2,"Crop damage",5000,25,1.79769313486232e+308,5000
15,"8/01/99",1,2511241,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
16,"8/01/99",1,2511341,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
17,"8/01/99",1,2511342,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
18,"8/01/99",1,2511441,2,"Crop damage",5000,7,1.79769313486232e+308,4000
19,"8/01/99",1,2511441,4,"Theft of cow/buffalo",10000,7,5,10000
20,"8/01/99",1,2511441,27,"Burning of house by fire",2500,2,1.79769313486232e+308,2000
21,"8/01/99",1,2511541,2,"Crop damage",6000,5,1.79769313486232e+308,5000
22,"8/01/99",1,2511641,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
23,"8/01/99",1,2511741,2,"Crop damage",8000,5,1.79769313486232e+308,6000
79,"6/07/99",1,2520141,8,"Huge expenditure due to illness",6000,5,7,6000
101,"6/10/99",1,2520151,2,"Crop damage",7000,5,1.79769313486232e+308,6000
80,"6/10/99",1,2520241,2,"Crop damage",18000,25,7,16000
102,"6/10/99",1,2520251,2,"Crop damage",6000,2,1.79769313486232e+308,3000
81,"6/10/99",1,2520341,5,"Death of cow/buffalo",12000,1,1.79769313486232e+308,1.79769313486232e+308
